age,earnings,industry,home_geoid,work_geoid
mid,high,other,250173396003,250173521021
mid,high,other,250173396003,250173521021
low,high,other,250173396003,250173521021
high,high,other,250173396003,250173523001
low,high,other,250173396003,250173523001
mid,high,other,250173396003,250173523002
mid,high,other,250173396003,250173523002
mid,high,other,250173396003,250173523002
low,high,other,250173396003,250173523002
low,high,other,250173396003,250173523002
mid,high,other,250173396003,250173523002
mid,high,other,250173396003,250173524002
low,high,other,250173396003,250173524002
mid,high,other,250173396003,250173524002
low,high,other,250173396003,250173524002
mid,high,goods_prod,250173396003,250173524002
low,high,other,250173396003,250173524002
mid,high,other,250173396003,250173524002
high,low,other,250173396003,250173524002
mid,high,other,250173396003,250173524002
low,high,other,250173396003,250173524002
mid,high,other,250173396003,250173524002
mid,high,goods_prod,250173396003,250173524002
mid,mid,other,250173396003,250173531022
low,high,other,250173396003,250173531022
low,high,other,250173396003,250173531022
low,mid,other,250173396003,250173531022
low,high,trade_trans_util,250173396004,250173521021
mid,high,other,250173396004,250173521021
low,high,other,250173396004,250173521021
mid,high,other,250173396004,250173523002
mid,high,other,250173396004,250173523002
low,high,other,250173396004,250173523002
mid,mid,other,250173396004,250173523002
mid,high,other,250173396004,250173523002
mid,high,other,250173396004,250173524001
low,high,other,250173396004,250173524002
low,high,other,250173396004,250173524002
low,high,other,250173396004,250173531022
mid,high,other,250173396004,250173531022
high,high,other,250173396004,250173531022
high,high,other,250173396004,250173531022
mid,high,other,250173396004,250173531022
high,high,other,250173396004,250173531022
mid,high,trade_trans_util,250173396005,250173521021
low,high,other,250173396005,250173521021
mid,high,other,250173396005,250173521021
low,high,other,250173396005,250173521021
mid,high,other,250173396005,250173521021
mid,high,other,250173396005,250173521021
mid,high,other,250173396005,250173523001
low,high,other,250173396005,250173523002
low,high,other,250173396005,250173523002
low,mid,other,250173396005,250173523002
mid,high,other,250173396005,250173523002
low,high,other,250173396005,250173523002
low,high,other,250173396005,250173523002
low,high,other,250173396005,250173523002
low,high,other,250173396005,250173523002
mid,high,other,250173396005,250173524001
mid,high,other,250173396005,250173524001
mid,high,other,250173396005,250173524002
low,high,other,250173396005,250173524002
high,high,trade_trans_util,250173396005,250173524002
low,high,other,250173396005,250173524002
mid,low,other,250173396005,250173524002
low,high,other,250173396005,250173524002
mid,high,other,250173396005,250173524002
mid,high,other,250173396005,250173531022
low,high,other,250173396005,250173531022
mid,high,other,250173396005,250173531022
mid,high,other,250173396005,250173531022
high,high,other,250173396005,250173531022
mid,high,other,250173396005,250173531022
mid,high,other,250173396005,250173531022
mid,high,trade_trans_util,250173396006,250173521021
mid,high,trade_trans_util,250173396006,250173521021
mid,high,other,250173396006,250173521021
low,high,other,250173396006,250173523001
low,high,other,250173396006,250173523002
mid,high,other,250173396006,250173523002
low,high,other,250173396006,250173523002
mid,high,other,250173396006,250173524001
low,high,other,250173396006,250173524002
low,high,trade_trans_util,250173396006,250173524002
low,mid,trade_trans_util,250173396006,250173524002
mid,high,other,250173396006,250173524002
mid,high,other,250173396006,250173524002
high,high,other,250173396006,250173524002
mid,high,trade_trans_util,250173396006,250173524002
low,mid,other,250173396006,250173524002
mid,high,other,250173396006,250173524002
low,low,other,250173396006,250173524002
mid,mid,other,250173396006,250173524002
low,high,trade_trans_util,250173396006,250173524002
mid,high,other,250173396006,250173531022
mid,high,other,250173396006,250173531022
mid,high,other,250173396006,250173531022
mid,high,other,250173396006,250173531022
low,high,other,250173397002,250173521021
low,high,other,250173397002,250173521021
low,low,trade_trans_util,250173397002,250173521021
mid,high,other,250173397002,250173521021
low,low,trade_trans_util,250173397002,250173521021
low,high,other,250173397002,250173523001
mid,high,other,250173397002,250173523002
high,high,other,250173397002,250173524001
mid,high,other,250173397002,250173524001
mid,high,other,250173397002,250173524002
high,high,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
low,high,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
mid,mid,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
low,high,other,250173397002,250173524002
low,mid,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
low,high,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
mid,mid,other,250173397002,250173524002
mid,mid,other,250173397002,250173524002
low,high,other,250173397002,250173524002
low,high,other,250173397002,250173524002
low,high,other,250173397002,250173524002
mid,high,other,250173397002,250173524002
high,high,other,250173397002,250173531022
mid,high,other,250173397002,250173531022
high,high,other,250173397002,250173531022
high,mid,other,250173397002,250173531022
high,high,other,250173397002,250173531022
mid,high,other,250173397002,250173531022
high,high,other,250173397002,250173531022
high,high,other,250173397002,250173531022
high,high,other,250173397002,250173531022
high,high,other,250173397002,250173531022
mid,high,other,250173397002,250173531022
low,high,other,250173397004,250173521021
low,high,other,250173397004,250173521021
low,high,other,250173397004,250173521021
low,high,other,250173397004,250173521021
low,high,other,250173397004,250173521021
high,mid,other,250173397004,250173523002
mid,high,other,250173397004,250173523002
low,low,goods_prod,250173397004,250173523002
high,low,goods_prod,250173397004,250173523002
mid,high,other,250173397004,250173524002
low,high,other,250173397004,250173524002
low,high,other,250173397004,250173524002
mid,high,other,250173397004,250173524002
mid,high,other,250173397004,250173524002
low,high,other,250173397004,250173531022
mid,high,other,250173397004,250173531022
mid,high,other,250173397004,250173531022
mid,high,other,250173397004,250173531022
high,high,other,250173397004,250173531022
mid,high,other,250173397004,250173531022
low,high,other,250173397004,250173531022
mid,high,other,250173397004,250173531022
high,high,other,250173397004,250173531022
mid,mid,other,250173398011,250173521021
mid,high,trade_trans_util,250173398011,250173521021
mid,high,trade_trans_util,250173398011,250173521021
mid,high,other,250173398011,250173521021
mid,high,other,250173398011,250173521021
mid,high,trade_trans_util,250173398011,250173521021
low,high,trade_trans_util,250173398011,250173521021
mid,high,other,250173398011,250173521021
low,high,other,250173398011,250173521021
mid,high,other,250173398011,250173521021
mid,high,other,250173398011,250173523001
mid,high,other,250173398011,250173523001
mid,high,other,250173398011,250173523002
mid,high,other,250173398011,250173523002
mid,high,other,250173398011,250173523002
high,mid,other,250173398011,250173523002
mid,high,other,250173398011,250173523002
high,high,other,250173398011,250173523002
mid,mid,other,250173398011,250173523002
high,high,other,250173398011,250173523002
mid,high,goods_prod,250173398011,250173523002
mid,high,other,250173398011,250173523002
mid,high,other,250173398011,250173523002
low,high,other,250173398011,250173523002
mid,high,other,250173398011,250173523002
low,high,other,250173398011,250173523002
mid,high,other,250173398011,250173524001
mid,high,other,250173398011,250173524001
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,mid,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
mid,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173524002
low,high,other,250173398011,250173531022
mid,high,other,250173398011,250173531022
low,high,other,250173398011,250173531022
low,high,other,250173398011,250173531022
mid,high,other,250173398011,250173531022
mid,high,other,250173398011,250173531022
mid,high,other,250173398011,250173531022
mid,high,other,250173398012,250173521021
mid,high,other,250173398012,250173521021
mid,high,other,250173398012,250173521021
high,high,other,250173398012,250173521021
mid,high,trade_trans_util,250173398012,250173523002
mid,high,trade_trans_util,250173398012,250173523002
low,high,other,250173398012,250173524002
high,high,other,250173398012,250173524002
high,high,other,250173398012,250173524002
mid,mid,other,250173398012,250173524002
mid,high,other,250173398012,250173531022
mid,high,other,250173398012,250173531022
mid,high,other,250173398012,250173531022
mid,high,other,250173398012,250173531022
mid,high,other,250173398012,250173531022
low,low,other,250173398022,250173521021
low,high,other,250173398022,250173521021
low,high,trade_trans_util,250173398022,250173521021
low,low,other,250173398022,250173521021
mid,low,goods_prod,250173398022,250173521021
mid,high,other,250173398022,250173521021
mid,high,other,250173398022,250173521021
mid,low,goods_prod,250173398022,250173521021
low,low,trade_trans_util,250173398022,250173521021
mid,high,other,250173398022,250173523001
low,mid,other,250173398022,250173523002
mid,high,other,250173398022,250173523002
low,mid,other,250173398022,250173523002
low,mid,other,250173398022,250173523002
high,high,other,250173398022,250173524001
high,high,other,250173398022,250173524001
high,high,other,250173398022,250173524001
high,high,other,250173398022,250173524001
high,high,other,250173398022,250173524001
high,high,other,250173398022,250173524001
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
low,mid,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
low,low,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
low,high,other,250173398022,250173524002
low,high,other,250173398022,250173524002
low,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173524002
mid,high,other,250173398022,250173531022
high,high,other,250173398022,250173531022
high,high,other,250173398022,250173531022
high,high,other,250173398022,250173531022
low,high,other,250173398022,250173531022
high,high,other,250173398022,250173531022
high,high,other,250173398022,250173531022
high,mid,other,250173398022,250173531022
mid,mid,other,250173398022,250173531022
high,high,other,250173398022,250173531022
high,high,other,250173398022,250173531022
low,high,other,250173398022,250173531022
low,high,other,250173398022,250173531022
mid,high,other,250173398022,250173531022
high,high,other,250173398022,250173531022
low,high,other,250173424002,250173521021
high,high,trade_trans_util,250173424002,250173521021
low,mid,other,250173424002,250173521021
high,high,other,250173424002,250173521021
low,mid,trade_trans_util,250173424002,250173523002
mid,high,other,250173424002,250173524002
high,high,other,250173424002,250173524002
mid,low,other,250173424002,250173531022
high,low,other,250173424002,250173531022
mid,low,other,250173424002,250173531022
low,high,trade_trans_util,250173424003,250173521021
mid,mid,other,250173424003,250173521021
mid,high,other,250173424003,250173524001
low,mid,other,250173424003,250173524002
low,mid,other,250173424003,250173524002
low,mid,other,250173424003,250173524002
mid,high,other,250173424003,250173524002
low,high,other,250173424003,250173524002
low,mid,other,250173424003,250173524002
low,high,other,250173424003,250173524002
mid,high,other,250173424003,250173531022
mid,high,other,250173424003,250173531022
mid,high,other,250173424003,250173531022
high,high,other,250173424003,250173531022
high,high,other,250173424003,250173531022
mid,high,other,250173424003,250173531022
high,low,other,250173424004,250173521021
high,low,other,250173424004,250173521021
mid,high,other,250173424004,250173521021
high,high,other,250173424004,250173521021
low,high,other,250173424004,250173521021
mid,low,other,250173424004,250173521021
low,mid,other,250173424004,250173523002
low,high,other,250173424004,250173523002
low,mid,other,250173424004,250173523002
mid,high,other,250173424004,250173524002
mid,high,other,250173424004,250173524002
mid,high,other,250173424004,250173524002
mid,mid,other,250173424004,250173524002
mid,mid,other,250173424004,250173524002
mid,low,other,250173424004,250173531022
mid,high,other,250173424004,250173531022
mid,low,other,250173424004,250173531022
mid,high,other,250173501032,250173521021
mid,high,other,250173501032,250173521021
mid,high,other,250173501032,250173521021
low,high,other,250173501032,250173521021
low,high,other,250173501032,250173521021
mid,high,other,250173501032,250173521021
mid,high,other,250173501032,250173521021
mid,high,other,250173501032,250173521021
mid,low,other,250173501032,250173521021
low,high,other,250173501032,250173521021
low,high,other,250173501032,250173521021
low,high,other,250173501032,250173521021
low,high,other,250173501032,250173521021
mid,high,trade_trans_util,250173501032,250173521021
low,high,other,250173501032,250173521021
mid,high,other,250173501032,250173521021
low,high,other,250173501032,250173521021
mid,high,other,250173501032,250173523001
mid,high,other,250173501032,250173523001
mid,high,other,250173501032,250173523002
mid,high,other,250173501032,250173523002
mid,high,other,250173501032,250173523002
low,high,other,250173501032,250173523002
mid,high,other,250173501032,250173523002
mid,high,other,250173501032,250173523002
mid,high,other,250173501032,250173523002
low,high,other,250173501032,250173523002
low,high,other,250173501032,250173524002
low,high,other,250173501032,250173524002
mid,high,other,250173501032,250173524002
low,high,other,250173501032,250173524002
mid,high,trade_trans_util,250173501032,250173524002
mid,high,other,250173501032,250173524002
mid,high,other,250173501032,250173524002
low,high,other,250173501032,250173524002
mid,high,trade_trans_util,250173501032,250173524002
low,high,other,250173501032,250173524002
low,high,other,250173501032,250173524002
mid,high,other,250173501032,250173524002
low,high,other,250173501032,250173524002
mid,high,other,250173501032,250173524002
mid,high,other,250173501032,250173524002
mid,high,trade_trans_util,250173501032,250173524002
mid,high,other,250173501032,250173524002
low,high,trade_trans_util,250173501032,250173524002
low,high,other,250173501032,250173531022
mid,high,other,250173501032,250173531022
high,high,other,250173501032,250173531022
mid,high,other,250173501032,250173531022
low,mid,other,250173501032,250173531022
mid,high,other,250173501032,250173531022
high,high,other,250173501032,250173531022
